az:név:verseny helyszíne:verseny dátuma:elért helyezés
7:Virág Dorián:Cegléd:2020-02-17:39
9:Székely Adrián:Cegléd:2020-02-17:54
13:Csonka Nimród:Cegléd:2020-02-17:30
14:Oláh Márk:Cegléd:2020-02-17:21
15:Veres Dominik:Cegléd:2020-02-17:29
16:Dudás Tamás:Cegléd:2020-02-17:5
18:Fazekas Viktor:Cegléd:2020-02-17:48
19:Gál Nolen:Cegléd:2020-02-17:7
23:Papp Vince:Cegléd:2020-02-17:17
25:Szabó Félix:Cegléd:2020-02-17:56
27:Varga Brendon:Cegléd:2020-02-17:22
29:Takács Roland:Cegléd:2020-02-17:45
31:Rácz Bendegúz:Cegléd:2020-02-17:14
32:Nemes Mátyás:Cegléd:2020-02-17:8
38:Lakatos Mihály:Cegléd:2020-02-17:4
40:Simon Vilmos:Cegléd:2020-02-17:36
43:Sárközi Tamás:Cegléd:2020-02-17:58
3:Lukács Dorián:Kaposvár:2020-03-11:54
5:Boros György:Kaposvár:2020-03-11:25
6:Kiss Ábel:Kaposvár:2020-03-11:51
11:Fodor Dávid:Kaposvár:2020-03-11:52
13:Csonka Nimród:Kaposvár:2020-03-11:17
16:Dudás Tamás:Kaposvár:2020-03-11:53
18:Fazekas Viktor:Kaposvár:2020-03-11:19
28:Nemes Ferenc:Kaposvár:2020-03-11:56
30:Kelemen Vilmos:Kaposvár:2020-03-11:12
34:Bodnár Csongor:Kaposvár:2020-03-11:50
41:Vörös Bendegúz:Kaposvár:2020-03-11:33
42:Bodnár Zénó:Kaposvár:2020-03-11:41
10:László Dávid:Kazincbarcika:2020-03-22:21
11:Fodor Dávid:Kazincbarcika:2020-03-22:18
13:Csonka Nimród:Kazincbarcika:2020-03-22:56
17:Orbán Gergő:Kazincbarcika:2020-03-22:32
18:Fazekas Viktor:Kazincbarcika:2020-03-22:50
19:Gál Nolen:Kazincbarcika:2020-03-22:17
23:Papp Vince:Kazincbarcika:2020-03-22:45
27:Varga Brendon:Kazincbarcika:2020-03-22:57
35:Tóth Márton:Kazincbarcika:2020-03-22:4
36:Kocsis Roland:Kazincbarcika:2020-03-22:47
42:Bodnár Zénó:Kazincbarcika:2020-03-22:37
46:Gáspár Richárd:Kazincbarcika:2020-03-22:33
1:Sándor Félix:Kiskunhalas:2020-05-02:38
11:Fodor Dávid:Kiskunhalas:2020-05-02:22
12:Katona Benett:Kiskunhalas:2020-05-02:36
15:Veres Dominik:Kiskunhalas:2020-05-02:57
19:Gál Nolen:Kiskunhalas:2020-05-02:30
24:Varga Levente:Kiskunhalas:2020-05-02:44
